Name	Family	FamilyNoForge	Group	Height	Width	Assigned Family	Assigned Group	Assigned Group Number	Friendly Name	Override Image	Description
WEP_SnpCanDrvr	BAL	BAL	null	4	1	BAL	Sniper	1	Sniper Cannon		A very high velocity variant of the gauss cannon that uses a nano-rifled barrel to create a very long range very accurate at long distances gauss weapon. The speed of the shot and slow barrel tracking makes the weapon less useful at close ranges though.
WEP_MasShtDrvr	BAL	BAL	null	6	1	BAL	Mass Shotgun	1	Mass Shotgun		"A heavy driver that fires a burst of mass driver rounds in a cone shaped pattern. Devastating to small, fast moving targets."
WEP_BrstrDrvr	BAL	BAL	null	5	1	BAL	Specialty	2	Bursters		A heavy driver that hurls a container that detonates at a set distance and spraying the area with hyper velocity shrapnel. Very good at damaging tight groups of small enemy ships.
WEP_ShldDrvr	BAL	BAL	null	6	1	BAL	Specialty	2	Shield Breaker		A ferrous-silicate dust that is specially designed to disrupt high-energy shields and bring them down. This material is delivered by Heavy Driver cannons and will do massive damage to shields but no actual damage to the ship itself.
WEP_ErgDrain	BAL	BAL	null	8	1	BAL	Specialty	2	Leach Rounds		Highly specialized large driver shells that bind to the hull of the target and punch invasive superconductor spikes into the target ships power conduits. The leach round will then drain power from the target ship for 20 seconds before burning out and falling away. This results in slower recharge rate for weapons on the target ship as well as lower drive thrusts.
WEP_GsDrvr	BAL	BAL	null	1	1	BAL	Drivers	3	Gauss Driver		These ballistic weapons use magnetic fields to hurl dense metallic spheres at very high speeds at a target. The spheres do intense kinetic damage at impact.
WEP_MasDrvr	BAL	BAL	null	3	1	BAL	Drivers	3	Mass Drivers		A heavier ballistic system using advanced power systems to magnetically hurl larger rounds and designed for a medium turret mount.
WEP_HvyDrvr	BAL	BAL	SPINAL	5	1	BAL	Drivers	3	Heavy Drivers		Heavy barrel mass drivers that hurl very large kinetic rounds that do very heavy damage.
WEP_SgeDrvr	BAL	BAL	null	9	1	BAL	Drivers	3	Siege Drivers		Massive Magnetic Drivers that literally hurl chunks of iron/nickel asteroids at large targets for devastating damage. Also known as World Killers for their terrible power at planetary bombardment. This weapon can only be fitted to a dreadnought class vessel.
WEP_ThmpDrvr	BAL	BAL	null	10	1	BAL	Drivers	3	Thumpers		This weapon uses an anti-grav generator mounted inside a Heavy Driver round to create an aimed field effect which will push any vessel away from the center of the field.
WEP_VRFtech	BAL	BAL	null	2	1	BAL	Defense	4	VRF Technology		The use of quantum conductors to supercharge magnetic coils and allow for a increase in the rate of fire of ballistic weapons.
WEP_PDtech	BAL	BAL	PD	3	1	BAL	Defense	4	Point Defense Tracking		"Very high speed turrets and targeting systems fitted with small-bore, rapid-fire weapons.  They are intended to track and engage incoming missiles and torpedoes as well threatening mines and asteroids."
WEP_APRtech	BAL	BAL	null	5	1	BAL	Rounds	5	Armor Piercing Rounds		"A shaped refinement to the standard driver ballistic slug designed to penetrate enemy ship armor deeper with less chance of ricochet. AP rounds can be applied to all 3 sizes of driver guns but does require a new barrel for greater accuracy and range and so AP rounds cannot be fired from standard driver guns. AP rounds do slightly less damage and carry less kinetic impact that standard rounds of the same calibre but are more accurate, longer ranged and suffer from deflection less often."
WEP_NeutRnd	BAL	BAL	null	10	1	BAL	Rounds	5	Neutronium Rounds		A method of creating mass driver ammunition out of super-dense neutronium. This increases the damage potential of all driver rounds.
WEP_KKMsl	WAR	WAR	null	11	1	BAL	Rounds	5	KK Missile		"Using neutronium alloys as a non-explosive warhead coupled with advanced ionic thrusters, the Kinetic Kill missiles uses only the impact damage of a very high velocity collision to damage or destroy its target while imparting a large kinetic vector to the target should it survive."
WEP_StrmDrvr	BAL	BAL	null	5	1	BAL	Stormers	6	Stormers		A very rapid-fire driver delivery system that fires an intense stream of gauss cannon rounds onto a target. Slow tracking rate but very effective at hammering away against slower targets. 
WEP_HStrmDrvr	BAL	BAL	null	6	1	BAL	Stormers	6	Heavy Stormers		Heavy barrel version of the Stormer that hurls streams of mass driver rounds that do heavy damages.
WEP_AccAmp	BAL	BAL	null	7	1	BAL	Acceleration	6	Accelerator Ampilification		Breakthroughs both in superconductors and advanced alloys allows for the creation of a very large railgun that provides the hitting power and range previously only achievable in heavy beams. This technology can also be used to tune existing ballistic drivers to achieve a 10% increase in damage and a 20% increase in round velocity.
BAL_ROOT	BAL	BAL	null	0	1	BAL			Ballistic Weapons	TechTree/ballistics-tree.tga	Ballistic Weapons
BIO_SpndAni	BIO	null	null	2	1	BIO	Colonization	1	Suspended Animation		Allows you to place colonists in suspended animation for transport to their new world and increase your base population.
BIO_Btrans	BIO	null	null	3	1	BIO	Colonization	1	Biological Transfer		A system of placing entire environmental biomes in stasis for transport aboard cruiser class hulls. This allows colony ships to literally carry pieces of the homeworld to new colonies for a head start in terrforming.
BIO_GnMod	BIO	null	null	1	1	BIO	Adaptaton	2	Gene Modification		Allows you to genetically modify the characteristics of your colonists to improve population growth on alien worlds by 10%
BIO_AtmoAd	BIO	null	null	2	1	BIO	Adaptaton	2	Atmospheric Adaptation		Allows you to genetically modify the respiration systems of your colonists to improve population growth and optimize terraforming on alien worlds. This results in a 75 point increase in Enviro Hazard tolerance and a 6% overall increase in population growth. The resulting greater understanding of atmospheric components also results in a 25% increase in terraforming efficiency.
BIO_EnvTail	BIO	null	null	3	1	BIO	Adaptaton	2	Environmental Tailoring		Allows you to genetically modify the entire physiology of your colonists to improve population growth and optimize terraforming on alien worlds. This increases population growth by 20% and terraforming effeciency by 35%.
BIO_GrvAdpt	BIO	null	null	4	1	BIO	Adaptaton	2	Gravitational Adaptation		Allows you to genetically modify the race’s skeleton and musculature to better deal with high gravity worlds and thus makes a larger range of worlds suitable for colonization. This increases your races Enviro Hazard tolerance by 150 points while increasing terraforming efficiency by 25% and population growth on all worlds by 10%.
BIO_TerBac	BIO	null	null	3	1	BIO	Terraforming	3	Terraforming Bacteria		Genetically engineered mass-growth bacteria that can alter a planets atmosphere thus increasing terraforming efficiency by 35%.
IND_EleNans	IND	null	null	7	1	BIO	Terraforming	3	Elemental Nanites		A generation of nano-bot assemblers designed to break down unwanted chemicals and elements in a planetary atmosphere and results in a 50% increase in terraforming efficiency.
BIO_Plg	BIO	null	BIOMISSILE	2	1	BIO	Plague	4	Plague		A bio-weapon designed to kill any carbon-based species. Delivered to enemy planets via large bio-missiles. Each impact should infect 20% of planetary population unless the enemy possesses the vaccine.
BIO_RtPlg	BIO	null	BIOMISSILE	3	2	BIO	Plague	4	Retro Plague		A retro-virus bio-weapon designed to kill any carbon-based species. Delivered to enemy planets via large bio-missiles. Each impact should infect 35% of planetary population unless the enemy possesses the vaccine.
BIO_Bst	BIO	null	BIOMISSILE	4	2	BIO	Plague	4	Beast Bomb		A tailored virus that destroys the awareness centers of a creature’s brain and reduces them to the level of animals. This causes chaos and massive destruction for a planetary society.
BIO_AsPlg	BIO	null	BIOMISSILE	5	2	BIO	Plague	4	Assimilation Plague		"A refined version of the beast bomb virus. This plague makes each victim a willing slave to the attacker. If the infection takes over the entire planet, it becomes a new world in the attackers empire."
BIO_NanVir	BIO	null	BIOMISSILE	8	1	BIO	Plague	4	Nano Virus		"A nanobot based “plague” which is designed to attack and breakdown all artificial structures such as buildings, machines and electronics. Extremely effective against AI rebellion planets."
BIO_SmrtNan	BIO	null	null	10	1	BIO	Plague	4	Smart Nanites		This generation of offensive nanites is designed to recognize unique molecular signatures in the hulls of friendly vessels and does not attack them. This creates a nano-missile that ONLY damages enemy ships.
BIO_PlgVac	BIO	null	null	3	1	BIO	Vaccine	5	Plague Vaccine	TechTree/PlagueCure.tga	An antidote to plague. Makes your race immune to the effects of the Plague Bio-Weapon.
BIO_RtPlgVac	BIO	null	null	4	1	BIO	Vaccine	5	Retro Plague Vaccine		An antidote to the retro-virus plague. Makes your race immune to the effects of the Retro-Plague Bio-Weapon.
BIO_BstVac	BIO	null	null	5	1	BIO	Vaccine	5	Beast Bomb Vaccine		An antidote to the Beast plague. Makes your race immune to the effects of the Beast Plague Bio-Weapon.
